id,type,href,ike_dist,price,land_area,house_area,BCR,FAR,nearest_station,station_dist,age,can_not_be_rebuilt,affordable
b-1441380000070,中古一戸建て,https://www.homes.co.jp/kodate/b-1441380000070/,38,3940.0,51.4,79.14,,,中浦和,7,11.0,False,1
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980.0,49.01,72.75,50,150.0,保谷,14,,False,1
b-17075400000015,土地,https://www.homes.co.jp/tochi/b-17075400000015/,40,3980.0,208.64,,60,200.0,西所沢,7,,False,1
b-1231900022813,新築一戸建て,https://www.homes.co.jp/kodate/b-1231900022813/,23,3980.0,56.64,63.04,,,中板橋,8,,False,1
b-1229390001946,新築一戸建て,https://www.homes.co.jp/kodate/b-1229390001946/,28,3980.0,40.51,64.57,,,浮間舟渡,9,,False,1
b-1243260007902,新築一戸建て,https://www.homes.co.jp/kodate/b-1243260007902/,38,3980.0,80.88,64.69,,,東久留米,10,,False,1
b-1227020029076,中古一戸建て,https://www.homes.co.jp/kodate/b-1227020029076/,40,3980.0,66.12,113.02,,,鶴瀬,5,3.0,False,1
b-1041390012044,土地,https://www.homes.co.jp/tochi/b-1041390012044/,32,3980.0,102.0,,80,300.0,戸田公園,10,,False,1
b-1318040004042,土地,https://www.homes.co.jp/tochi/b-1318040004042/,33,3980.0,149.44,,60,200.0,成増,15,,False,1
b-1062360003979,土地,https://www.homes.co.jp/tochi/b-1062360003979/,33,3980.0,149.44,,60,200.0,地下鉄成増,14,,False,1
b-1080060004262,新築一戸建て,https://www.homes.co.jp/kodate/b-1080060004262/,27,3990.0,45.36,56.27,,,地下鉄赤塚,9,,False,1
b-83520001939,新築一戸建て,https://www.homes.co.jp/kodate/b-83520001939/,27,3990.0,41.52,73.88,,,朝霞,4,,False,1
b-1000980063789,中古一戸建て,https://www.homes.co.jp/kodate/b-1000980063789/,40,3990.0,115.19,88.91,,,東久留米,12,8.0,False,1
b-17008150000209,土地,https://www.homes.co.jp/tochi/b-17008150000209/,33,4110.0,82.83,,60,200.0,下赤塚,15,,False,1
b-17017120000321,新築一戸建て,https://www.homes.co.jp/kodate/b-17017120000321/,38,4180.0,110.09,86.26,40,80.0,東久留米,13,,False,1
b-1445460000042,新築一戸建て,https://www.homes.co.jp/kodate/b-1445460000042/,26,4180.0,43.61,77.79,,,北赤羽,9,,False,1
b-1418210000993,中古一戸建て,https://www.homes.co.jp/kodate/b-1418210000993/,37,4180.0,156.97,89.84,,,東武練馬,15,15.0,False,1
b-90640000328,新築一戸建て,https://www.homes.co.jp/kodate/b-90640000328/,37,4180.0,110.09,86.26,,,東久留米,13,,False,1
b-1080060004242,中古一戸建て,https://www.homes.co.jp/kodate/b-1080060004242/,31,4180.0,58.91,95.76,,,上板橋,11,18.0,False,1
b-1391690000283,中古一戸建て,https://www.homes.co.jp/kodate/b-1391690000283/,31,4180.0,58.91,85.48,,,上板橋,11,18.0,False,1
b-1062360004364,中古一戸建て,https://www.homes.co.jp/kodate/b-1062360004364/,29,4180.0,66.13,107.64,,,朝霞,6,23.0,False,1
b-1388540004396,中古一戸建て,https://www.homes.co.jp/kodate/b-1388540004396/,5,4180.0,31.2,47.9,,,池袋,5,49.0,False,1
b-60000330213499,土地,https://www.homes.co.jp/tochi/b-60000330213499/,5,4180.0,31.2,,60,160.0,池袋,5,,False,1
b-17017120000337,新築一戸建て,https://www.homes.co.jp/kodate/b-17017120000337/,40,4190.0,163.67,95.64,40,80.0,東久留米,12,,False,1
b-90640000499,新築一戸建て,https://www.homes.co.jp/kodate/b-90640000499/,40,4190.0,163.67,95.64,,,武蔵小金井,5,,False,1
b-1421770003674,新築一戸建て,https://www.homes.co.jp/kodate/b-1421770003674/,34,4190.0,88.41,70.38,,,ひばりヶ丘,11,,False,1
b-1373820000459,土地,https://www.homes.co.jp/tochi/b-1373820000459/,22,4190.0,50.45,,70,160.0,千川,12,,False,1
b-1379290001076,土地,https://www.homes.co.jp/tochi/b-1379290001076/,30,4190.0,53.28,,60,200.0,新江古田,8,,False,1
b-74620000442,土地,https://www.homes.co.jp/tochi/b-74620000442/,24,4200.0,121.14,,60,200.0,新板橋,9,,False,1
b-1120410013771,土地,https://www.homes.co.jp/tochi/b-1120410013771/,26,4200.0,98.49,,80,400.0,保谷,3,,False,1
b-90640000166,土地,https://www.homes.co.jp/tochi/b-90640000166/,39,4200.0,131.69,,50,100.0,清瀬,9,,False,1
b-17019050000394,土地,https://www.homes.co.jp/tochi/b-17019050000394/,31,4230.0,118.01,,40,80.0,ひばりヶ丘,8,,False,1
b-8910089902,新築一戸建て,https://www.homes.co.jp/kodate/b-8910089902/,38,4240.0,53.47,93.08,,,所沢,8,,False,1
b-17051620000023,新築一戸建て,https://www.homes.co.jp/kodate/b-17051620000023/,38,4280.0,88.13,103.26,60,100.0,志木,10,,False,1
b-17020970014731,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014731/,36,4280.0,51.95,87.24,70,200.0,ひばりヶ丘,13,,False,1
b-1398090000068,新築一戸建て,https://www.homes.co.jp/kodate/b-1398090000068/,34,4280.0,125.22,115.48,,,朝霞,11,,False,1
b-1405570000994,新築一戸建て,https://www.homes.co.jp/kodate/b-1405570000994/,38,4280.0,77.94,110.96,,,みずほ台,5,,False,1
b-1437730002740,新築一戸建て,https://www.homes.co.jp/kodate/b-1437730002740/,38,4280.0,77.94,101.75,,,みずほ台,5,,False,1
b-1222100007704,中古一戸建て,https://www.homes.co.jp/kodate/b-1222100007704/,33,4280.0,91.24,74.34,,,東久留米,5,3.0,False,1
b-1168620001705,中古一戸建て,https://www.homes.co.jp/kodate/b-1168620001705/,38,4280.0,109.08,93.56,,,小手指,3,17.0,False,1
b-1303360011100,土地,https://www.homes.co.jp/tochi/b-1303360011100/,31,4280.0,121.02,,40,80.0,ひばりヶ丘,8,,False,1
b-1430280000020,中古一戸建て,https://www.homes.co.jp/kodate/b-1430280000020/,40,4350.0,74.43,97.25,,,与野本町,5,6.0,False,1
b-17020970014863,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014863/,31,4380.0,48.73,87.07,60,200.0,地下鉄成増,11,,False,1
b-1370090000215,中古一戸建て,https://www.homes.co.jp/kodate/b-1370090000215/,32,4380.0,51.71,58.55,,,上板橋,12,3.0,False,1
b-1421770003015,中古一戸建て,https://www.homes.co.jp/kodate/b-1421770003015/,32,4380.0,51.17,58.55,,,上板橋,12,3.0,False,1
b-84720008017,土地,https://www.homes.co.jp/tochi/b-84720008017/,30,4380.0,73.44,,60,200.0,ときわ台,12,,False,1
b-88030001673,土地,https://www.homes.co.jp/tochi/b-88030001673/,35,4380.0,119.34,,60,200.0,保谷,12,,False,1
b-1303360010105,土地,https://www.homes.co.jp/tochi/b-1303360010105/,38,4380.0,197.79,,60,200.0,志木,10,,False,1
b-1303360011113,土地,https://www.homes.co.jp/tochi/b-1303360011113/,31,4430.0,118.01,,40,80.0,ひばりヶ丘,8,,False,1
b-17000120000407,中古一戸建て,https://www.homes.co.jp/kodate/b-17000120000407/,32,4439.0,120.01,100.17,50,100.0,清瀬,2,,False,1
b-1309740000405,中古一戸建て,https://www.homes.co.jp/kodate/b-1309740000405/,22,4450.0,50.49,73.89,,,小竹向原,10,8.0,False,1
b-17001030000005,土地,https://www.homes.co.jp/tochi/b-17001030000005/,35,4480.0,106.28,,50,60.0,練馬高野台,13,,False,1
b-17017240000248,新築一戸建て,https://www.homes.co.jp/kodate/b-17017240000248/,36,4480.0,66.82,102.68,60,200.0,みずほ台,3,,False,1
b-1405570000888,新築一戸建て,https://www.homes.co.jp/kodate/b-1405570000888/,40,4480.0,63.38,112.25,,,志木,12,,False,1
b-1405570000906,新築一戸建て,https://www.homes.co.jp/kodate/b-1405570000906/,36,4480.0,66.82,102.68,,,みずほ台,3,,False,1
b-1303360011109,土地,https://www.homes.co.jp/tochi/b-1303360011109/,31,4480.0,122.01,,40,80.0,ひばりヶ丘,8,,False,1
b-1363260000266,土地,https://www.homes.co.jp/tochi/b-1363260000266/,14,4480.0,56.69,,60,200.0,要町,6,,False,1
b-17074750000034,土地,https://www.homes.co.jp/tochi/b-17074750000034/,23,4500.0,69.86,,60,200.0,駒込,13,,False,1
b-17078180000001,土地,https://www.homes.co.jp/tochi/b-17078180000001/,37,4500.0,100.03,,60,200.0,志木,9,,False,1
b-1307950004186,中古一戸建て,https://www.homes.co.jp/kodate/b-1307950004186/,31,4500.0,80.85,97.71,,,大泉学園,10,23.0,False,1
b-1331680000270,中古一戸建て,https://www.homes.co.jp/kodate/b-1331680000270/,38,4500.0,153.0,123.6,,,保谷,15,28.0,False,1
b-8910089624,中古一戸建て,https://www.homes.co.jp/kodate/b-8910089624/,38,4500.0,153.0,61.8,,,保谷,15,28.0,False,1
b-1252630008054,中古一戸建て,https://www.homes.co.jp/kodate/b-1252630008054/,13,4500.0,46.21,76.0,,,大塚,7,56.0,True,1
b-1388540003091,中古一戸建て,https://www.homes.co.jp/kodate/b-1388540003091/,36,4500.0,141.95,149.83,,,東武練馬,14,56.0,False,1
b-1370090000201,土地,https://www.homes.co.jp/tochi/b-1370090000201/,37,4500.0,141.95,,60,200.0,東武練馬,15,,False,1
b-1342720022422,土地,https://www.homes.co.jp/tochi/b-1342720022422/,36,4500.0,141.95,,60,200.0,東武練馬,14,,False,1
b-1172930002536,土地,https://www.homes.co.jp/tochi/b-1172930002536/,36,4500.0,141.95,,60,160.0,東武練馬,14,,False,1
b-1091410000442,土地,https://www.homes.co.jp/tochi/b-1091410000442/,34,4500.0,213.68,,60,200.0,和光市,13,,False,1
b-1271630001651,土地,https://www.homes.co.jp/tochi/b-1271630001651/,38,4500.0,242.56,,60,200.0,朝霞台,12,,False,1
b-1194040215502,土地,https://www.homes.co.jp/tochi/b-1194040215502/,34,4500.0,213.68,,60,172.0,和光市,13,,False,1
